,city,Max Temp ,Humidity (%),Cloudiness (%),Wind Speed (mph),latitude,longtitude,Date
144,Port Blair,81.75,75,0,8.79,11.67,92.75,01/03/2020
145,Lavrentiya,-16.13,94,64,8.84,65.58,-170.99,01/03/2020
146,Ostersund,27.0,68,38,23.04,63.18,14.64,01/03/2020
147,Pedasi,81.16,76,53,14.16,7.53,-80.03,01/03/2020
148,Cizre,40.12,73,41,2.15,37.33,42.19,01/03/2020
149,Hofn,23.0,53,30,20.8,64.25,-15.21,01/03/2020
150,Mega,72.05,56,74,14.14,4.06,38.32,01/03/2020
151,Aldan,0.99,95,100,7.36,58.61,125.39,01/03/2020
152,Baturaja,73.94,95,100,4.43,-4.12,104.17,01/03/2020
153,Sivas,28.4,100,90,8.05,39.75,37.01,01/03/2020
154,Sheridan,46.4,22,1,17.22,39.65,-105.03,01/03/2020
155,Paranaiba,87.87,59,20,7.27,-19.68,-51.19,01/03/2020
156,Mahendragarh,55.83,47,0,5.1,28.27,76.15,01/03/2020
157,Sao Filipe,72.54,72,100,10.63,14.9,-24.5,01/03/2020
158,Ormara,71.44,65,42,10.78,25.21,64.64,01/03/2020
159,Natal,87.8,55,40,16.11,-5.81,-35.21,01/03/2020
160,Half Moon Bay,57.99,71,1,4.16,37.46,-122.43,01/03/2020
161,Buala,80.19,80,91,3.62,-8.15,159.59,01/03/2020
162,Mar del Plata,87.33,20,79,40.4,-46.43,-67.52,01/03/2020
163,Coquimbo,66.2,68,40,16.11,-29.95,-71.34,01/03/2020
164,Timaru,52.0,95,14,29.82,-44.39,171.25,01/03/2020
165,Shudayag,33.82,97,100,12.77,63.53,53.61,01/03/2020
166,Elizabeth City,72.0,100,90,11.41,36.3,-76.22,01/03/2020
167,Shorapani,39.2,64,13,5.82,42.1,43.08,01/03/2020
168,Valle de Santiago,69.8,19,40,10.29,20.39,-101.18,01/03/2020
169,Deputatskiy,-25.56,100,38,2.71,69.3,139.9,01/03/2020
170,Djenne,70.79,11,3,9.46,13.91,-4.55,01/03/2020
